Time (s),wallet (USD),Bitcoin (USD),Etherum (USD),XRP (USD),ADA (USD),BNB (USD)
0,100,,,,,
204.97976422309875,100.0,39074.2,2581.1,0.798,0.7939,374.39
301.90052795410156,100.0,39082.1,2580.98,0.7976,0.7934,374.53
302.162237405777,100.0,39082.1,2580.98,0.7976,0.7931,374.53
351.9845666885376,106.01805416248702,39086.9,2582.51,0.7984,0.7936,374.52
564.5156989097595,106.01805416248702,39097.6,2582.83,0.7993,0.7932,374.14
629.0137565135956,112.62752997875076,39114.8,2583.84,0.7998,0.7935,374.31
786.8216662406921,112.62752997875076,39055.2,2580.14,0.7982,0.7923,373.59
787.8804042339325,112.62752997875076,39055.2,2579.71,0.7982,0.7923,373.59
788.9148507118225,112.62752997875076,39055.2,2579.71,0.7983,0.7923,373.59
1280.8198699951172,119.41023626395825,39094.4,2580.58,0.7979,0.7929,373.86
1506.5462021827698,119.41023626395825,39054.4,2575.0,0.7966,0.7925,373.33
2164.710555791855,128.1425592485614,39102.0,2581.87,0.7998,0.794,373.5
2164.7117846012115,142.58929648064225,39102.0,2581.87,0.7998,0.794,373.5
2164.7126812934875,152.2978099215126,39102.0,2581.87,0.7998,0.794,373.5
2201.8318252563477,161.7555044489695,39098.6,2582.38,0.7998,0.7943,373.7
2666.6982893943787,161.7555044489695,39052.2,2578.06,0.7993,0.7936,372.85
2666.9566066265106,161.7555044489695,39052.2,2578.06,0.7993,0.7936,372.85
2667.2179987430573,161.7555044489695,39052.2,2578.06,0.7993,0.7935,372.85
2676.5458652973175,161.7555044489695,39053.2,2577.99,0.7989,0.7937,372.87
2694.5478944778442,171.47419791942764,39057.9,2578.13,0.7997,0.7937,372.93
3021.1554958820343,171.47419791942764,39033.1,2577.7,0.7999,0.7934,372.75
3146.94491314888,181.76393601185381,39048.1,2578.3,0.8007,0.7938,372.81
3470.5042610168457,192.75910794451838,39055.0,2578.37,0.802,0.7943,372.73
3555.134263753891,192.75910794451838,39030.2,2575.99,0.802,0.7934,372.46
3827.7245223522186,192.75910794451838,39043.8,2579.09,0.8012,0.793,371.92
3870.7759881019592,205.75086010253588,39050.1,2579.52,0.8021,0.7933,371.85
3978.8515944480896,205.75086010253588,39066.0,2579.38,0.8022,0.7932,371.96
4051.5070300102234,230.37325173784325,39070.2,2579.87,0.8038,0.7935,372.0
4151.8510954380035,230.37325173784325,39073.3,2578.78,0.8031,0.7938,371.98
7661.831412792206,244.47412569897364,38980.7,2580.69,0.7986,0.7901,371.13
8114.250538825989,244.47412569897364,38960.1,2582.01,0.7972,0.7905,371.2
9411.639723300934,259.64244609160323,38958.5,2584.68,0.7967,0.7906,371.58
10320.04201245308,259.64244609160323,38890.8,2583.56,0.7949,0.7893,371.61
10708.304455041885,277.4305806649112,38955.4,2586.51,0.7967,0.7898,371.8
12189.997761249542,277.4305806649112,38979.1,2591.48,0.7982,0.791,372.6
18225.331066846848,296.31292419390695,38490.2,2542.0,0.7816,0.7943,368.76
18303.59760594368,296.31292419390695,38474.9,2538.48,0.7806,0.7921,368.55
18645.147302389145,314.26901605264527,38474.3,2539.35,0.7808,0.7929,368.63
18888.724081516266,314.26901605264527,38691.7,2549.74,0.784,0.8024,370.59
18898.190305233,335.4187255078333,38661.0,2548.53,0.7837,0.8033,370.63
19203.424798965454,335.4187255078333,38632.1,2547.16,0.7829,0.8046,369.8
19210.208752393723,362.9325657806587,38636.3,2547.5,0.7829,0.8057,369.88
19432.5255715847,362.9325657806587,38681.0,2551.28,0.7849,0.8054,371.43
19714.705699920654,389.97000549612926,38809.9,2563.59,0.7865,0.8064,372.35
19974.110227108,389.97000549612926,38768.3,2565.31,0.786,0.8051,371.61
20265.9706530571,419.0324826166955,38809.9,2567.73,0.7869,0.8061,372.27
20490.391191720963,419.0324826166955,38875.8,2565.39,0.7879,0.8067,372.27
24156.259956359863,450.19890006680214,38868.0,2567.7,0.787,0.8077,371.86
24369.618000268936,450.19890006680214,38827.4,2565.09,0.7865,0.8073,371.53
24493.834926843643,480.3125388672591,38832.5,2566.1,0.7872,0.8082,371.78
24971.889989614487,480.3125388672591,38801.3,2563.53,0.7856,0.8072,370.92
25444.38916683197,516.0146601903953,38840.3,2566.5,0.7859,0.8082,370.71
25643.745114803314,516.0146601903953,40671.3,2767.47,0.7865,0.8402,383.61
25659.694514274597,516.0146601903953,40656.2,2766.79,0.7865,0.8401,383.61
25661.871370077133,516.0146601903953,40656.1,2766.78,0.7863,0.8401,383.57
25752.164149045944,515.811805799566,40699.5,2768.64,0.7871,0.8409,383.96
25761.63107728958,514.1997259814615,40699.5,2768.64,0.7871,0.8406,383.9
25799.64089512825,512.6780516808519,40712.2,2770.51,0.7871,0.8411,383.89
25812.98228931427,512.6780516808519,40726.0,2770.88,0.7874,0.8411,383.98
26421.39869618416,512.6780516808519,40706.8,2772.54,0.7872,0.84,384.71
26421.68500638008,512.6780516808519,40706.8,2772.54,0.7872,0.84,384.71
26421.959142684937,512.6780516808519,40706.8,2772.54,0.7872,0.8399,384.71
26478.237619161606,526.106932663086,40731.0,2774.16,0.7874,0.841,384.85
26524.90695786476,556.6576970014755,40778.6,2780.59,0.7886,0.8431,385.46
26524.908210277557,576.4575134598606,40778.6,2780.59,0.7886,0.8431,385.46
26744.75518631935,576.4575134598606,40837.9,2787.37,0.7908,0.8449,385.86
26745.027637004852,576.4575134598606,40837.9,2787.37,0.7908,0.8449,385.86
26760.00663304329,594.325944691787,40889.9,2791.69,0.7915,0.8456,386.1
26767.11215019226,608.3944958739812,40886.3,2790.48,0.7912,0.8459,386.12
26880.039632320404,608.3944958739812,40854.9,2785.99,0.7904,0.8446,386.01
26880.31439113617,608.3944958739812,40854.9,2785.99,0.7904,0.8446,386.01
26880.575838565826,608.3944958739812,40854.9,2785.99,0.7904,0.8446,386.01
26899.29425883293,622.2496336848776,40911.7,2788.75,0.7913,0.8454,386.28
26901.184505462646,637.124714214032,40915.7,2789.32,0.7914,0.8455,386.35
26906.549707889557,650.7030292221463,40915.7,2789.32,0.7911,0.8455,386.35
27000.521882534027,650.7030292221463,40889.0,2789.24,0.7909,0.8452,386.13
27008.304401159286,650.7030292221463,40847.2,2788.69,0.7904,0.8446,386.01
27047.22273349762,664.5707234276866,40870.0,2789.32,0.7913,0.8455,386.56
27049.76198744774,678.015067307876,40900.0,2789.32,0.7917,0.8454,386.72
27078.81715321541,678.015067307876,40891.7,2791.28,0.7916,0.8454,386.22
27319.7476272583,678.015067307876,40966.7,2807.44,0.7943,0.8492,391.5
27320.63621687889,678.015067307876,40966.7,2807.29,0.7943,0.8492,391.5
27320.881554603577,678.015067307876,40966.7,2807.29,0.7944,0.8492,391.5
27321.773017644882,678.015067307876,40966.7,2807.29,0.7944,0.8492,391.5
27322.015577316284,678.015067307876,40966.7,2807.29,0.7944,0.8492,391.49
27408.792421102524,694.9875255050652,40973.8,2807.26,0.7945,0.8488,391.98
27667.678345680237,709.7128798083994,41010.1,2809.99,0.795,0.8492,392.88
27697.7512819767,709.7128798083994,41002.3,2809.75,0.7948,0.8489,392.93
27796.249568223953,724.0071976293142,40993.6,2809.99,0.7952,0.8491,392.53
27834.506581783295,743.0919849596445,40990.6,2810.99,0.7949,0.8491,392.34
27919.434203863144,743.0919849596445,40933.5,2807.65,0.7943,0.8482,391.42
27919.67917752266,743.0919849596445,40933.5,2807.65,0.7943,0.8482,391.42
27919.92491698265,743.0919849596445,40933.5,2807.65,0.7945,0.8482,391.42
27930.729781150818,759.9272973942251,40950.0,2808.6,0.7954,0.8485,391.53
28023.63717031479,759.9272973942251,40947.0,2807.48,0.7946,0.8472,390.25
28384.274901151657,777.5268449024933,40980.9,2808.69,0.7942,0.8478,390.93
28475.79577064514,777.5268449024933,40878.5,2803.5,0.7931,0.8457,390.11
28621.62991786003,794.835440591212,40924.0,2807.95,0.7934,0.8465,390.32
28700.706943511963,814.1426110178392,40955.1,2811.06,0.7939,0.8475,390.54
28841.084509134293,814.1426110178392,40954.2,2809.47,0.7939,0.8476,389.91
28875.413043022156,815.5915366355141,40969.9,2809.72,0.794,0.8477,390.1
29030.27587032318,817.5123834010244,41054.7,2816.8,0.7946,0.8493,390.62
29038.801280736923,823.6853940987426,41033.9,2815.51,0.7949,0.8491,390.46
29245.411069631577,710.4870857961653,40962.6,2811.62,0.794,0.8483,390.23
29245.416362285614,710.4870857961653,40962.6,2811.62,0.794,0.8483,390.23
